algo,stream_id,step,prefix_len,true_F0,estimate_N
packed,28,18,190001,48857,47818.8
packed,28,19,200000,49048,47900.9
packed,29,0,10001,9044,8859.27
packed,29,1,20001,16442,15956.4
packed,29,2,30001,22530,21393.5
packed,29,3,40001,27478,26287.9
packed,29,4,50001,31560,30662.1
packed,29,5,60001,34988,34194.8
packed,29,6,70001,37686,36768.7
packed,29,7,80001,39935,38819.2
packed,29,8,90001,41780,40772.7
packed,29,9,100001,43246,42124.1
packed,29,10,110001,44401,43139.4
packed,29,11,120001,45414,44225
packed,29,12,130001,46211,45126.5
packed,29,13,140001,46915,45739.2
packed,29,14,150001,47483,46500.8
packed,29,15,160001,47936,47045.6
packed,29,16,170001,48326,47306.7
packed,29,17,180001,48623,47587.3
packed,29,18,190001,48869,47786.2
packed,29,19,200000,49053,47988.9
