dataset,size,algorithm,time_us,char_comparisons
reversed,100,string_quick_sort,14.9666,604
reversed,100,string_merge_sort,88.85,343
reversed,100,msd_radix_sort,44.558,474
reversed,100,msd_radix_sort_with_quick,18.4914,543
reversed,200,quick_sort,67.142,2163
reversed,200,merge_sort,71.2998,1309
reversed,200,string_quick_sort,29.2002,1236
reversed,200,string_merge_sort,186.217,720
reversed,200,msd_radix_sort,77.5504,944
reversed,200,msd_radix_sort_with_quick,34.2834,1138
reversed,300,quick_sort,108.491,3432
reversed,300,merge_sort,119.492,2059
reversed,300,string_quick_sort,50.6084,2058
reversed,300,string_merge_sort,295.758,1073
reversed,300,msd_radix_sort,120.717,1448
reversed,300,msd_radix_sort_with_quick,50.325,1721
reversed,400,quick_sort,149.992,4870
reversed,400,merge_sort,167.517,2855
reversed,400,string_quick_sort,65.2668,2859
reversed,400,string_merge_sort,406.933,1457
reversed,400,msd_radix_sort,167.366,1928
reversed,400,msd_radix_sort_with_quick,69.0416,2273
reversed,500,quick_sort,192.5,6155
reversed,500,merge_sort,233.741,3792
reversed,500,string_quick_sort,81.7584,3615
reversed,500,string_merge_sort,507.717,1906
reversed,500,msd_radix_sort,212.15,2398
reversed,500,msd_radix_sort_with_quick,86.6418,2848
reversed,600,quick_sort,234.167,7462
reversed,600,merge_sort,262.908,4383
reversed,600,string_quick_sort,104.375,4514
reversed,600,string_merge_sort,644.717,2130
reversed,600,msd_radix_sort,251.15,2886
reversed,600,msd_radix_sort_with_quick,107.367,3406
reversed,700,quick_sort,285.833,9200
reversed,700,merge_sort,315.35,5303
reversed,700,string_quick_sort,129.758,5437
reversed,700,string_merge_sort,744.584,2591
reversed,700,msd_radix_sort,291.408,3394
reversed,700,msd_radix_sort_with_quick,122.925,3983
reversed,800,quick_sort,329.917,10539
reversed,800,merge_sort,370.7,6113
reversed,800,string_quick_sort,145.3,6294
reversed,800,string_merge_sort,884.967,2937
reversed,800,msd_radix_sort,335.95,3856
reversed,800,msd_radix_sort_with_quick,140.158,4533
reversed,900,quick_sort,388.933,12063
reversed,900,merge_sort,411.675,7031
reversed,900,string_quick_sort,166.142,7343
reversed,900,string_merge_sort,978.317,3319
reversed,900,msd_radix_sort,374.917,4350
reversed,900,msd_radix_sort_with_quick,160.883,5127
reversed,1000,quick_sort,424.758,13464
reversed,1000,merge_sort,480.183,8081
reversed,1000,string_quick_sort,191.608,8093
reversed,1000,string_merge_sort,1158.18,3825
reversed,1000,msd_radix_sort,422.083,4818
reversed,1000,msd_radix_sort_with_quick,194.833,5689
reversed,1100,quick_sort,456.358,14862
reversed,1100,merge_sort,547.675,8714
reversed,1100,string_quick_sort,211.317,9042
reversed,1100,string_merge_sort,1260.65,4077
reversed,1100,msd_radix_sort,475.008,5284
reversed,1100,msd_radix_sort_with_quick,196.792,6251
reversed,1200,quick_sort,527.666,16286
reversed,1200,merge_sort,632.95,9420
reversed,1200,string_quick_sort,219.341,9993
reversed,1200,string_merge_sort,1407.62,4330
reversed,1200,msd_radix_sort,502.475,5764
reversed,1200,msd_radix_sort_with_quick,222.283,6793
reversed,1300,quick_sort,587.658,18186
reversed,1300,merge_sort,676.275,10321
reversed,1300,string_quick_sort,267.675,11116
reversed,1300,string_merge_sort,1520.94,4743
reversed,1300,msd_radix_sort,576.142,6286
reversed,1300,msd_radix_sort_with_quick,231.967,7376
reversed,1400,quick_sort,613.483,19927
reversed,1400,merge_sort,707.383,11310
reversed,1400,string_quick_sort,279.408,11979
reversed,1400,string_merge_sort,1656.82,5197
reversed,1400,msd_radix_sort,599.158,6782
reversed,1400,msd_radix_sort_with_quick,247.909,7981
reversed,1500,quick_sort,683.925,21376
reversed,1500,merge_sort,793.192,12200
reversed,1500,string_quick_sort,300.059,13194
reversed,1500,string_merge_sort,1736.99,5559
reversed,1500,msd_radix_sort,625.25,7272
reversed,1500,msd_radix_sort_with_quick,271.883,8528
reversed,1600,quick_sort,694.316,22886
